"","solID","mape","decomp.rssd","nrmse","nrmse_train","tv_A_thetas","web_A_thetas","tv_A_alphas","web_A_alphas","tv_A_gammas","web_A_gammas","cluster","n","top_sol"
"29","3_194_7",0,0.302823500166767,0.0897760800906837,0.0897760800906837,0.184597958134228,0.721162574703653,0,0.98595900858135,0.902733406014867,0.833017832990548,1,11,FALSE
"30","3_201_4",0,0.013772896545392,0.0897786369701234,0.0897786369701234,0,0.812336593627474,0,0.654636067680259,0.902733406014867,0.797145380615417,1,11,TRUE
"31","4_139_5",0,0.00010959754490788,0.0978191587795547,0.0978191587795547,0.51470553996256,0.541519034532736,0.44165358105831,0.699968621374682,0.275912762239858,0.543668223684765,2,15,FALSE
"32","4_148_5",0,0.00665958204407979,0.089900041433229,0.089900041433229,0.536237634503255,0.460062353102292,0.703425712499377,0.91350989019285,0.116186472031888,0.964436851986735,4,13,TRUE
"33","4_173_6",0,0.00951670629793033,0.0907151360792254,0.0907151360792254,0.592145570550344,0.481503266587818,0.382673788249332,0.751374895663552,0.202929992990966,0.778036365969101,2,15,FALSE
"34","4_182_9",0,0.00361020041487706,0.0911174021045899,0.0911174021045899,0.541955172867062,0.344321235438009,0.451699424501024,0.670909686579084,0.175033277337664,0.867165439313954,2,15,FALSE
"35","4_185_4",0,0.0202263124869722,0.0902894989502467,0.0902894989502467,0.560341926632604,0.287306221755116,0.440985193159521,0.415340994026003,0.174156470788059,0.825225478910851,2,15,FALSE
"36","4_186_2",0,0.00241066333934467,0.0946374334797129,0.0946374334797129,0.493335100021295,0.478539061062795,0.424290761821765,0.7424662156599,0.22905981707827,0.545659683934948,2,15,FALSE
"37","4_192_8",0,0.00242438974962046,0.0910911948453237,0.0910911948453237,0.493335100021295,0.478539061062795,0.822754846717382,0.821320000170772,0.15364352249768,0.562131410818835,4,13,FALSE
"38","4_200_7",0,0.0241952547570392,0.0901716375383321,0.0901716375383321,0.569864087112247,0.380780171914374,0.444380474581305,0.917032555108863,0.162894839818472,0.603434362352532,2,15,FALSE
"39","4_203_4",0,0.00072039836868519,0.0985203891896531,0.0985203891896531,0.550690235059399,0.514209469840405,0.423850719124478,0.51182117942034,0.333252085451198,0.652535410541583,2,15,FALSE
"40","4_205_7",0,0.611912377043691,0.0897713507480581,0.0897713507480581,0.481950415765109,0.311306822064257,0.931506100798436,0.850723241949155,0,0.993173620654033,4,13,FALSE
"41","4_206_6",0,0.317505619450962,0.0897274599985225,0.0897274599985225,0.469683009147019,0.48943989698005,0.423049573841874,0.998492643974801,0.083352090881881,0.984237480684586,4,13,FALSE
"42","4_207_7",0,0.0438164745115792,0.089867869336961,0.089867869336961,0.533953618276495,0.649577710512905,1,0.790964501015665,0.13574552209945,0.931598254235337,4,13,FALSE
"43","4_210_9",0,0.448604585561567,0.089764023851918,0.089764023851918,0.423273368989761,0.417150389848868,0.88276592619109,0.864552342063413,0.0241002323413208,0.931831942784918,4,13,FALSE
"44","4_213_1",0,0.0359513470702147,0.0899279377783277,0.0899279377783277,0.462606751679329,0.643527814605145,0.515082853584651,0.935199703500995,0.0703111201449665,0.900520203706364,4,13,FALSE
"45","4_215_7",0,0.483600380091045,0.0897176037204206,0.0897176037204206,0.51049528115697,0.605425567973603,0.740532226728777,0.850723241949155,0,0.959753830383984,4,13,FALSE
"46","4_215_9",0,0.436617199639994,0.0897751298395079,0.0897751298395079,0.634698918440516,0.346955104853488,0.528211369260352,0.822191622602286,0.110578926715512,0.91499118786528,4,13,FALSE
"47","4_216_8",0,0.12346328003925,0.089809007618263,0.089809007618263,0.524798664846988,0.527645865978421,0.145623574570152,0.56874665900689,0.325430984274638,0.711726577571168,2,15,FALSE
"48","4_221_5",0,0.540833471621926,0.0897065766433813,0.0897065766433813,0.550434763985763,0.431146046039517,0.988283157788958,0.952743744065562,0.0204217715981899,0.949372039681881,4,13,FALSE
"49","4_222_5",0,0.0867141556365962,0.0897539394323683,0.0897539394323683,0.547392435767901,0.589854524990744,0.849675201656567,0.747077010953374,0.129117668175422,0.852741909925335,4,13,FALSE
"50","4_223_1",0,0.0842001784793587,0.0898793713427398,0.0898793713427398,0.378928981580831,0.601312407204462,0.636499570805784,0.534855998747166,0.0703111201449665,0.872051185007197,4,13,FALSE
"51","5_43_9",0,7.60030599350254e-05,0.173802718364418,0.173802718364418,0.626778414319144,0.348681882284135,0.913180663581836,0.173109211153724,0.524219179421662,0.674139246979239,3,4,FALSE
"52","5_57_5",0,4.85745222337491e-07,0.170144327320607,0.170144327320607,0.646695107341286,0.679176404930835,0.735015960013004,0.23905122081134,0.421361734501883,0.617964306858473,3,4,FALSE
"53","5_102_2",0,0.000183316500947697,0.119881054161041,0.119881054161041,0.2315239116431,0,0.243241063225171,0.498925246505822,0.835614222592762,0.426276388510652,2,15,FALSE
"54","5_111_8",0,0.0413750518218692,0.0898829690354528,0.0898829690354528,0.93133959784546,0.326387693524,0.670713475521854,0,0.240010491805241,0.652185777194038,3,4,TRUE
"55","5_206_3",0,0.000261467511547734,0.111844346884593,0.111844346884593,0.837851869327833,0.345486564979235,0.668738895171463,0.0877854430436992,0.602430768923002,0,3,4,FALSE
