"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"147","tv_A",855.499831147052,15311.7700402965,1.07032651602484e-05,75.0576962759633,8.74364887514633e-06,15311.7700402965,1.07032651602484e-05,75.0576962759633,8.74364887514633e-06,TRUE,1,0.748825951544154,NA,NA,0.0902894989502467,NA,NA,0.0902894989502467,0.0202263124869722,0,16847.1218101766,0.0007090498071,20825168.3276808,1e-04,"4_185_4",4,185,4,1660,3,120000,576.923076923077,845.683899464329,268.760822541252,52.2732656258705,0.3,0.285697837282064,0.090606993751509,0.127598083669138,7.83710829539576,2,FALSE,0.710119429825715,0.116058909327666,0,1.67419200610377,0.510314387228064
"148","web_A",4215.8219126811,38282.5104973594,2.6760319660946e-05,216.285370041579,2.51955952061411e-05,38282.5104973594,2.6760319660946e-05,216.285370041579,2.51955952061411e-05,TRUE,1,0.748825951544154,NA,NA,0.0902894989502467,NA,NA,0.0902894989502467,0.0202263124869722,0,16847.1218101766,0.0007090498071,20825168.3276808,1e-04,"4_185_4",4,185,4,1660,3,280000,1346.15384615385,1607.14131008403,260.987463930186,24.227515648179,0.7,0.714302162717936,0.017997583052933,0.136723251776284,7.31404488269684,2,FALSE,0.712128183033752,0.115351374341466,0,1.67065281459679,0.0449168703184858
"149","(Intercept)",8350953.02286868,1736998228.75668,1.21420009419789,8350953.02286868,0.999783211556651,1736998228.75668,1.21420009419789,8350953.02286868,0.999783211556651,TRUE,1,0.724052675537505,NA,NA,0.0946374334797129,NA,NA,0.0946374334797129,0.00241066333934467,0,56294.7490093856,0.002603467741,20825168.3276808,1e-04,"4_186_2",4,186,2,1667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"150","Total_Sales_B",-0.777340575123008,-306761911.160792,-0.214433345562113,0,0,-306761911.160792,-0.214433345562113,0,0,FALSE,1,0.724052675537505,NA,NA,0.0946374334797129,NA,NA,0.0946374334797129,0.00241066333934467,0,56294.7490093856,0.002603467741,20825168.3276808,1e-04,"4_186_2",4,186,2,1667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"151","tv_A",5962.11531033241,99535.9274094362,6.95778098306522e-05,487.921212791353,5.84143433420469e-05,99535.9274094362,6.95778098306522e-05,487.921212791353,5.84143433420469e-05,TRUE,1,0.724052675537505,NA,NA,0.0946374334797129,NA,NA,0.0946374334797129,0.00241066333934467,0,56294.7490093856,0.002603467741,20825168.3276808,1e-04,"4_186_2",4,186,2,1667,3,120000,576.923076923077,815.265168807438,238.342091884361,281.291403443425,0.3,0.298295403605592,0.487571765968604,0.829466061745302,1.20559483518334,2,FALSE,0.710119429825715,0.116058909327666,0,1.67419200610377,0.414715278275107
"152","web_A",18295.0901351101,234146.476698417,0.000163673554386305,1322.86145027354,0.000158374100007169,234146.476698417,0.000163673554386305,1322.86145027354,0.000158374100007169,TRUE,1,0.724052675537505,NA,NA,0.0946374334797129,NA,NA,0.0946374334797129,0.00241066333934467,0,56294.7490093856,0.002603467741,20825168.3276808,1e-04,"4_186_2",4,186,2,1667,3,280000,1346.15384615385,1775.23933372525,429.085487571399,7.12926738140973,0.7,0.701704596394408,0.00529602719761866,0.836237416780061,1.19583264266087,2,FALSE,0.712128183033752,0.115351374341466,0,1.67065281459679,0.0264394141665806
"153","(Intercept)",8518562.7724151,1771861056.66235,1.23856998026126,8518562.7724151,0.999890042135417,1771861056.66235,1.23856998026126,8518562.7724151,0.999890042135417,TRUE,1,0.744345714440607,NA,NA,0.0910911948453237,NA,NA,0.0910911948453237,0.00242438974962046,0,26653.4455350507,0.00117998499,20825168.3276808,1e-04,"4_192_8",4,192,8,1727,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"154","Total_Sales_B",-0.865275737990494,-341463764.483189,-0.238690706839364,0,0,-341463764.483189,-0.238690706839364,0,0,FALSE,1,0.744345714440607,NA,NA,0.0910911948453237,NA,NA,0.0910911948453237,0.00242438974962046,0,26653.4455350507,0.00117998499,20825168.3276808,1e-04,"4_192_8",4,192,8,1727,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"155","tv_A",2795.15872560451,52108.4196914128,3.6424935299505e-05,255.433429859867,2.99822105874987e-05,52108.4196914128,3.6424935299505e-05,255.433429859867,2.99822105874987e-05,TRUE,1,0.744345714440607,NA,NA,0.0910911948453237,NA,NA,0.0910911948453237,0.00242438974962046,0,26653.4455350507,0.00117998499,20825168.3276808,1e-04,"4_192_8",4,192,8,1727,2,120000,576.923076923077,815.265168807438,238.342091884361,30.9488478322625,0.3,0.301714302432196,0.0536446695759216,0.434236830761773,2.30289079405291,4,FALSE,0.640195053498724,0.128861388967092,0,1.65040411808017,0.492442155059765
"156","web_A",9360.018185289,120599.401155506,8.43016428105623e-05,681.352548901165,7.99756539959979e-05,120599.401155506,8.43016428105623e-05,681.352548901165,7.99756539959979e-05,TRUE,1,0.744345714440607,NA,NA,0.0910911948453237,NA,NA,0.0910911948453237,0.00242438974962046,0,26653.4455350507,0.00117998499,20825168.3276808,1e-04,"4_192_8",4,192,8,1727,2,280000,1346.15384615385,1775.23933372525,429.085487571399,1.50546835175661,0.7,0.698285697567804,0.00111834791844777,0.43071214698395,2.32173623846569,4,FALSE,0.284915539365036,0.0340472550442729,0.0190499951302657,0.553988303140476,0.0165845136660924
