DATE,TP_LUMINOUS_SALES_VALUE,TV_LUMINOUS_SPEND,GL_LUMINOUS_SPEND,FB_LUMINOUS_SPEND,DV_LUMINOUS_SPEND,TV_LUMINOUS_TRP,GL_LUMINOUS_IMPRESSIONS,FB_LUMINOUS_IMPRESSIONS,DV_LUMINOUS_IMPRESSIONS,TP_LUMINOUS_AVG_PRICE,TP_COLGATE_NOAD_AVG_PRICE,TP_COMPETITORS_AVG_PRICE,TP_COMPETITORS_SALES_VALUE
2019-05-20,6527926.101922989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.93783515954806,112.77008422432482,210.1906854226633,18238455.94135765
2019-05-27,8134027.083218098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.95630952414643,116.4386851679192,199.93959814828628,22571780.802753758
2019-06-03,10997739.745259283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.28539558618465,109.66746688575006,168.3110548530694,29586727.091902867
2019-06-10,9782599.078655245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.2744722210113,111.91247757969998,165.7168059096269,25901205.02601331
2019-06-17,8124353.133678436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.24594977211532,116.62111111598976,169.92383990875507,21967754.1778842
2019-06-24,8431997.045814991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.1511887985156,122.19523876437114,168.9128334570751,22532465.18672304
2019-07-01,8569108.996391296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.41046511063604,114.4862555468658,175.43104095902476,20947518.81010633
2019-07-08,7849294.033706188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.61184327031975,113.29093644284082,176.12187966186505,19581582.769867964
2019-07-15,7513504.099071026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.07140682608167,110.14703342154576,169.3777878925413,20375301.03200488
2019-07-22,7023541.932106018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.50049589686927,109.88067765336366,176.1425611445709,18771512.969170697
2019-07-29,8445213.911533356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.78450512995377,114.49921036796722,181.8584285277006,21774637.076306973
2019-08-05,7206777.087200433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.8711561892976,114.47849614562264,189.27146714970652,17833536.104264554
2019-08-12,8105678.034711629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.5401303135324,113.03144386214991,185.8674090413548,19673879.15803399
2019-08-19,7309024.983406067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.46882109261924,114.18562079540318,193.1780701425889,18393450.00416785
2019-08-26,8789535.888671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.89129845803825,119.60930050974753,185.65254792685565,21096256.17008913
2019-09-02,8612623.93951416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.7887410417735,121.92541533417597,186.73411477025695,19116158.11663121
2019-09-09,8319062.061309814,1281130.0,0.0,0.0,0.0,132.17,0.0,0.0,0.0,248.87997760172365,120.6845286680471,185.77232297588995,17672520.921934396
2019-09-16,9188441.86758995,1429497.0,0.0,0.0,0.0,138.79,0.0,0.0,0.0,254.59799826462756,120.88335334631444,191.912371255195,19756611.031380016
2019-09-23,9412915.943145752,1287931.0,204717.0,0.0,0.0,124.76,7987306.0,0.0,0.0,252.3231776318487,119.56319450497456,191.7531374566337,19094394.0395182
2019-09-30,11014548.027038574,1199220.0,35283.0,0.0,0.0,120.92,1406744.0,0.0,0.0,259.71582586724713,114.62980573578729,197.6302643740816,21606719.00946496
2019-10-07,8888401.109695435,341498.0,53481.0,0.0,0.0,34.69,2168765.0,0.0,0.0,251.710499012484,117.46040577938692,211.62832970245145,18349868.997915648
